N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
105,현대오토에버,"139,500","3,000",-2.11%,500,"29,295","21,000",1.07,"149,649",50.97,11.71,
106,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
107,현대위아,"106,000","2,500",-2.30%,"5,000","28,827","27,195",11.41,"1,375,714",22.90,1.80,
108,DB손해보험,"40,000","1,300",-3.15%,500,"28,320","70,800",41.14,"521,989",5.10,6.92,
109,휠라홀딩스,"45,800",800,-1.72%,"1,000","27,825","60,752",48.58,"443,095",15.44,23.81,
110,GS리테일,"35,800",650,+1.85%,"1,000","27,566","77,000",14.61,"485,763",16.32,6.25,
111,팬오션,"5,120",80,-1.54%,"1,000","27,370","534,570",11.66,"6,740,590",20.24,5.49,
112,BGF리테일,"152,000","4,000",-2.56%,"1,000","26,272","17,284",31.66,"55,395",20.08,26.46,
113,삼성엔지니어링,"13,350",150,-1.11%,"5,000","26,166","196,000",24.60,"1,437,646",10.25,24.62,
114,대우건설,"6,270",190,-2.94%,"5,000","26,060","415,623",8.20,"5,431,144",13.54,8.80,
115,한화,"34,500","1,650",-4.56%,"5,000","25,861","74,959",19.97,"1,905,214",14.06,2.09,
116,OCI,"107,500",500,+0.47%,"5,000","25,638","23,849",20.21,"374,548",-3.47,-26.20,
117,한화생명,"2,905",95,-3.17%,"5,000","25,231","868,530",7.36,"5,068,016",11.05,0.51,
118,신세계,"251,000","1,500",+0.60%,"5,000","24,711","9,845",24.74,"169,693",-8.06,14.24,
119,하이트진로,"34,850","1,050",+3.11%,"5,000","24,442","70,134",8.63,"824,579",32.94,-3.86,
120,LS,"75,500",400,-0.53%,"5,000","24,311","32,200",13.92,"280,386","-1,048.61",0.80,
121,종근당,"212,500","5,000",+2.41%,"2,500","24,280","11,426",13.24,"352,340",25.21,11.94,
122,메리츠증권,"3,540",25,-0.70%,"1,000","23,929","675,962",13.33,"2,541,769",4.43,15.06,
123,한샘,"99,800",100,-0.10%,"1,000","23,487","23,534",23.17,"77,984",35.04,7.32,
124,현대로템,"21,350",600,-2.73%,"5,000","23,302","109,142",4.53,"2,119,683",-12.12,-37.93,
125,제일기획,"20,050",450,-2.20%,200,"23,066","115,041",32.86,"808,296",16.99,15.09,
126,한솔케미칼,"200,000","5,000",+2.56%,"5,000","22,590","11,295",40.02,"147,846",19.24,20.88,
127,녹십자홀딩스,"46,500","3,650",+8.52%,500,"21,868","47,028",6.81,"3,740,858",43.95,0.37,
128,LS ELECTRIC,"69,900","1,600",-2.24%,"5,000","20,970","30,000",14.45,"233,840",26.94,7.82,
129,오뚜기,"569,000","4,000",+0.71%,"5,000","20,894","3,672",16.36,"6,225",19.23,7.79,
130,HDC현대산업개발,"31,500",550,+1.78%,"5,000","20,761","65,907",10.78,"1,423,002",7.82,20.30,
131,KODEX 200선물인버스2X,"2,055",25,+1.23%,0,"20,435","994,400",1.40,"349,475,408",N/A,N/A,
132,한화에어로스페이스,"39,900","2,200",-5.23%,"5,000","20,201","50,630",18.65,"1,289,467",27.98,5.45,
133,한화시스템,"18,250","1,000",-5.19%,"5,000","20,117","110,230",8.58,"3,372,553",25.85,8.15,
134,포스코인터내셔널,"16,200","1,000",-5.81%,"5,000","19,987","123,375",11.68,"2,641,844",8.94,7.06,
135,현대백화점,"83,100","2,500",+3.10%,"5,000","19,447","23,402",14.76,"380,618",17.03,4.64,
136,현대미포조선,"47,900",900,-1.84%,"5,000","19,132","39,942",13.10,"400,665",41.22,2.31,
137,KCC,"215,000","6,000",+2.87%,"5,000","19,106","8,886",11.89,"91,774",-682.54,-4.37,
138,현대해상,"20,950",500,-2.33%,500,"18,729","89,400",36.83,"757,221",5.14,6.23,
139,현대엘리베이,"45,300",500,+1.12%,"5,000","18,489","40,815",25.75,"649,130",20.29,5.22,
140,메리츠화재,"15,200",100,-0.65%,500,"18,335","120,625",10.27,"315,316",4.46,12.80,
141,대웅제약,"158,000","3,000",-1.86%,"2,500","18,307","11,587",5.10,"127,587","-1,104.90",4.34,
142,BNK금융지주,"5,610",120,-2.09%,"5,000","18,285","325,935",38.30,"2,086,888",3.81,7.07,
143,아이에스동서,"58,900","4,700",+8.67%,500,"18,196","30,893",5.41,"529,609",14.20,6.10,
144,두산인프라코어,"8,320",110,+1.34%,"5,000","17,966","215,932",5.91,"2,449,504",10.74,11.59,
145,명신산업,"43,700","1,400",-3.10%,500,"17,820","40,779",1.45,"921,160",N/A,53.84,
146,한올바이오파마,"34,100",500,-1.45%,500,"17,814","52,241",7.27,"294,257",90.45,14.90,
147,대한유화,"273,500","1,500",-0.55%,"5,000","17,778","6,500",19.56,"55,500",20.02,6.11,
148,KODEX 단기채권,"102,670",10,+0.01%,0,"17,733","17,272",0.00,"20,457",N/A,N/A,
149,농심,"290,500",500,-0.17%,"5,000","17,670","6,083",17.86,"47,416",13.03,3.72,
150,KODEX 삼성그룹,"10,850",60,+0.56%,0,"17,262","159,100",0.03,"774,439",N/A,N/A,
